,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
1,AABR07000222.1,1700092M07Rik,1700025F22Rik,1700066B19Rik,A2m,AABR07001634.1,AABR07001512.1,AABR07000433.1,7SK
2,AABR07000276.1,5_8S_rRNA,A630010A05Rik,3082ex4-5,AABR07001555.1,AABR07002908.1,AABR07001905.1,AABR07000533.1,AABR07007000.1
3,AABR07000385.2,A2ml1,A930003A15Rik,4933427I04Rik,AABR07001929.1,AABR07002997.1,AABR07001923.1,AABR07000714.1,AABR07018556.1
4,AABR07000398.1,A3galt2,AA926063,5S_rRNA,AABR07002493.1,AABR07004183.1,AABR07002674.1,AABR07000733.1,AABR07030156.1
5,AABR07001064.1,AABR07000382.1,AABR07000137.1,A1cf,AABR07002774.1,AABR07008681.1,AABR07002910.1,AABR07001001.1,AABR07043115.1
6,AABR07001100.1,AABR07000740.1,AABR07000159.2,A4galt,AABR07006081.1,AABR07010370.1,AABR07002969.1,AABR07001068.1,AABR07044273.1
7,AABR07001210.1,AABR07001734.1,AABR07000452.1,AABR07000145.1,AABR07006258.2,AABR07013288.4,AABR07005779.2,AABR07001926.2,AABR07058233.1
8,AABR07001435.1,AABR07001780.1,AABR07000534.1,AABR07000156.1,AABR07006536.1,AABR07014132.1,AABR07006367.1,AABR07002093.1,AABR07070926.1
9,AABR07001910.1,AABR07001807.1,AABR07000629.2,AABR07000159.3,AABR07006566.1,AABR07014855.1,AABR07006957.1,AABR07002382.1,AABR07072362.1
10,AABR07001926.1,AABR07002010.1,AABR07000658.1,AABR07000411.1,AABR07007997.1,AABR07016572.1,AABR07007744.1,AABR07002384.1,AC098563.1
11,AABR07002001.1,AABR07002623.1,AABR07001003.1,AABR07000451.1,AABR07008256.1,AABR07021930.1,AABR07007853.1,AABR07002902.1,AC098750.1
12,AABR07002247.1,AABR07002893.1,AABR07001037.1,AABR07000986.1,AABR07009931.1,AABR07028488.1,AABR07009428.1,AABR07003233.1,AC105662.2
13,AABR07002546.1,AABR07003344.1,AABR07001493.1,AABR07001207.1,AABR07010620.1,AABR07028989.1,AABR07009508.1,AABR07003310.1,AC112001.1
14,AABR07002564.1,AABR07004881.1,AABR07001519.1,AABR07001233.1,AABR07013729.1,AABR07029023.1,AABR07010385.1,AABR07003310.2,AC128353.1
15,AABR07002683.1,AABR07005040.1,AABR07001662.1,AABR07001408.1,AABR07014118.1,AABR07031674.3,AABR07010570.1,AABR07003397.1,AY172581.1
16,AABR07002768.1,AABR07005506.1,AABR07001762.1,AABR07001416.2,AABR07014275.1,AABR07037520.1,AABR07010583.1,AABR07003933.1,Acadm
17,AABR07002779.1,AABR07005535.1,AABR07002025.1,AABR07001444.1,AABR07014836.1,AABR07043190.1,AABR07011857.1,AABR07004061.1,Acox1
18,AABR07002882.1,AABR07005794.1,AABR07002262.2,AABR07001452.1,AABR07015066.1,AABR07049503.1,AABR07011951.1,AABR07004783.1,Acy1
19,AABR07002906.1,AABR07005806.1,AABR07002351.1,AABR07001477.1,AABR07017159.1,AABR07053707.1,AABR07011977.1,AABR07004812.2,Add3
20,AABR07003049.1,AABR07006030.1,AABR07002627.1,AABR07001591.1,AABR07017208.1,AABR07055191.1,AABR07013302.1,AABR07005955.1,Aif1l
21,AABR07003273.1,AABR07006049.2,AABR07002677.1,AABR07001610.1,AABR07019061.1,AABR07056576.1,AABR07013566.1,AABR07006097.1,Akap13
22,AABR07003537.1,AABR07006111.1,AABR07002783.1,AABR07001699.1,AABR07019341.1,AABR07057150.1,AABR07014239.1,AABR07006389.1,Akap17a
23,AABR07003944.1,AABR07006688.2,AABR07002870.2,AABR07001880.1,AABR07021544.1,AABR07062599.1,AABR07014242.1,AABR07006451.1,Alcam
24,AABR07004085.1,AABR07006774.1,AABR07003650.1,AABR07001888.1,AABR07021704.1,AABR07067082.1,AABR07014804.1,AABR07006475.1,Alkbh1
25,AABR07004112.1,AABR07006775.1,AABR07003841.1,AABR07001926.3,AABR07022072.2,AABR07068018.1,AABR07015006.1,AABR07006672.1,Anapc4
26,AABR07004228.1,AABR07007130.2,AABR07004868.1,AABR07001942.1,AABR07024468.1,AABR07069282.1,AABR07015015.2,AABR07006713.1,Ankfy1
27,AABR07004397.1,AABR07007743.1,AABR07004993.1,AABR07002044.1,AABR07024473.2,AABR07070679.1,AABR07015180.1,AABR07006740.1,Ankrd17
28,AABR07004404.1,AABR07008350.1,AABR07005004.2,AABR07002068.1,AABR07024593.2,AABR07072264.3,AABR07017110.1,AABR07006871.1,Arap1
29,AABR07004876.1,AABR07008911.1,AABR07005837.1,AABR07002258.1,AABR07025787.1,AC099384.2,AABR07018058.1,AABR07007023.1,Arf4
30,AABR07004894.1,AABR07009978.1,AABR07005844.1,AABR07002337.1,AABR07027407.1,AC111319.3,AABR07018167.1,AABR07007689.1,Arhgef10
31,AABR07004992.1,AABR07010705.1,AABR07006038.1,AABR07002351.2,AABR07027752.3,AC117925.2,AABR07018244.2,AABR07008097.1,Arl6ip4
32,AABR07005004.1,AABR07011013.1,AABR07006263.1,AABR07002353.2,AABR07027753.1,AC130555.1,AABR07018792.1,AABR07008287.2,Arsk
33,AABR07005031.1,AABR07011733.1,AABR07006310.1,AABR07002682.1,AABR07027753.4,AC141521.1,AABR07021221.1,AABR07008916.1,Aspm
34,AABR07005549.1,AABR07012133.1,AABR07006311.1,AABR07002774.2,AABR07029847.1,Abhd1,AABR07021465.2,AABR07009634.1,Atat1
35,AABR07005572.1,AABR07012587.1,AABR07006591.1,AABR07002775.1,AABR07030366.1,Abhd18,AABR07021762.1,AABR07011698.1,Atf3
36,AABR07005581.1,AABR07012728.2,AABR07006688.1,AABR07002784.2,AABR07030544.1,Acan,AABR07025301.1,AABR07012774.1,Atp2a2
37,AABR07005618.1,AABR07013065.1,AABR07006889.1,AABR07002868.2,AABR07030657.1,Acat2l1,AABR07025328.1,AABR07013654.1,Bard1
38,AABR07005633.1,AABR07013086.1,AABR07007121.1,AABR07002870.1,AABR07030901.1,Acd,AABR07026797.1,AABR07014119.1,Bcar1
39,AABR07005837.2,AABR07013701.1,AABR07007592.1,AABR07002896.1,AABR07031588.1,Adamts1,AABR07027267.1,AABR07014350.1,Bhlhb9
40,AABR07005838.1,AABR07014304.1,AABR07007717.1,AABR07002898.1,AABR07032393.1,Adcy10,AABR07027752.1,AABR07016674.1,Bmpr2
41,AABR07006160.1,AABR07015078.1,AABR07007717.3,AABR07002928.1,AABR07033920.1,Adgrb3,AABR07027910.1,AABR07016947.1,Bnip2
42,AABR07006255.1,AABR07015346.1,AABR07008126.1,AABR07002938.1,AABR07034098.1,Aff3,AABR07028185.1,AABR07016950.1,Bsg
43,AABR07006258.1,AABR07015559.1,AABR07008298.1,AABR07002973.1,AABR07034393.1,Afmid,AABR07028349.1,AABR07016976.1,Ccdc186
44,AABR07006333.1,AABR07015596.1,AABR07008568.1,AABR07003030.2,AABR07034425.1,Ahi1,AABR07029742.1,AABR07017266.1,Cd59
