,T1,T2,T3
1700025F22Rik,20.62411116,0,0
1700066B19Rik,0,45.69322408,0.216963865
1700092M07Rik,21.14985659,0,65.2127647
3082ex4-5,0,70.59977257,0
4933427I04Rik,0,15.97257003,0
5S_rRNA,21705.40378,71212.17821,38081.90254
5_8S_rRNA,27921.02924,18496.1264,33855.39506
7SK,3737.205732,3811.355973,3447.40611
A1cf,0,4.57582951,0
A2m,1.123853038,6.915827287,33.4318179
A2ml1,11.94659611,0,14.80743685
A3galt2,118.9715605,19.19630208,23.3803132
A4galt,0.598828674,40.28059838,0
A630010A05Rik,3.684295043,0,0
A930003A15Rik,91.42212157,0,0
AA926063,318.8580197,231.8640839,253.943849
AABR07000137.1,9.996021989,0,0
AABR07000145.1,0,1.091991304,0
AABR07000156.1,0,19.32145014,2.572196016
AABR07000159.2,8.38577217,0,0
AABR07000159.3,0,3.481144642,0
AABR07000222.1,2410.67688,1310.541475,1050.066969
AABR07000276.1,16.57878669,9.481765883,3.850547334
AABR07000382.1,274.3577826,67.40408177,107.4000377
AABR07000385.2,19.32332353,8.405383975,3.142355974
AABR07000398.1,20902.14358,12914.24776,10241.03531
AABR07000411.1,3.653896293,13.37522519,1.25659403
AABR07000433.1,0,0,1.717152799
AABR07000451.1,0,88.73029614,23.88756931
AABR07000452.1,0.814722416,0,0
AABR07000533.1,0,0,3.771959951
AABR07000534.1,1.531343517,0,0
AABR07000629.2,5.710826585,3.60064264,3.562796054
AABR07000658.1,6262.002713,4101.220384,4374.347707
AABR07000714.1,0,0,3472.092091
AABR07000733.1,0,0,5.545242847
AABR07000740.1,1.261404568,0.983034906,1.830266269
AABR07000986.1,0,0.101429766,0
AABR07001001.1,0,0,25.16131737
AABR07001003.1,0.437890068,0,0
AABR07001037.1,5.327741398,2.609061321,2.715659362
AABR07001064.1,271.526584,212.7600344,76.12651751
AABR07001068.1,0,0,93.00871554
AABR07001100.1,163.1631261,141.8530347,62.54751579
AABR07001207.1,6.742743006,16.98633851,0.418245007
AABR07001210.1,7.951643962,7.012112533,2.99705452
AABR07001233.1,8.222762715,9.383310441,1.354212483
AABR07001408.1,4.451073996,6.40372678,0.950671514
AABR07001416.2,0,127.6830835,0
AABR07001435.1,132.9071988,119.1722238,69.85568748
AABR07001444.1,11.52192187,17.60875692,11.58030664
AABR07001452.1,0,12.56416279,0
AABR07001477.1,3.575852914,8.943622206,0
AABR07001493.1,51.94502388,0,0
AABR07001512.1,3680.915894,3514.580233,1511.216618
AABR07001519.1,23.97562787,0,0
AABR07001555.1,0,23.57982071,57.22828349
AABR07001591.1,0,3.686727182,0.355536248
AABR07001610.1,0,2.954546586,0
AABR07001634.1,1.060220818,28.56748962,26.14943873
AABR07001662.1,0.162950695,0,0
AABR07001699.1,0,4.829201129,0
AABR07001734.1,0.177439921,0,0.376320589
AABR07001762.1,29.27257557,0,0
AABR07001780.1,3.302584825,0,45.48985865
AABR07001807.1,3.841786991,2.352030271,2.629755616
AABR07001880.1,0,1.121686855,0
AABR07001888.1,0,0.558273863,0
AABR07001905.1,202.5444427,191.3869193,88.17551322
AABR07001910.1,65.25721502,44.57609659,10.47317921
AABR07001923.1,167.9250809,152.8084016,96.91845197
AABR07001926.1,7.134631188,2.812635819,0
AABR07001926.2,0,0,0.801054914
AABR07001926.3,171.8178392,217.7166852,67.832972
AABR07001929.1,0.668654972,6.914593929,7.636226901
AABR07001942.1,0,19.93495801,0
AABR07002001.1,8.727726624,0.444488128,0
AABR07002010.1,3.669109099,0.265674506,3.251480937
AABR07002025.1,120.2324949,49.21095225,52.25463092
AABR07002044.1,0.229509132,2.776073029,0
AABR07002068.1,0.30100168,0.848221543,0.170730448
AABR07002093.1,0,0,15.20648112
AABR07002247.1,2.108293552,0.938454878,0
AABR07002258.1,0,39.03693686,0
AABR07002262.2,0.146828798,0,0
AABR07002337.1,0.954427478,9.524072867,1.029501518
AABR07002351.1,0.239832317,0,0
AABR07002351.2,0.338982909,0.525856549,0
AABR07002353.2,1.710990272,3.418632408,2.845239159
AABR07002382.1,0,0,61.28004229
AABR07002384.1,9.954631037,9.342107009,68.70029139
AABR07002493.1,59.45610044,108.5068079,149.3766444
AABR07002546.1,649.7152763,515.9542737,373.2523834
AABR07002564.1,363.9070964,216.3620672,22.42309827
