M	Healthy	Diseases
1	1.21	0
2	0.28	0
3	1.04	1.05
4	8.72	15.81
5	0.49	0.6
6	0.19	0
7	0.47	0.8
8	0.25	0.25
9	0.88	0.79
10	1.34	0.89
11	0.57	0.55
12	0.39	0
13	1.59	1.52
14	0	2.23
15	2.14	2.15
16	1.6	1.17
17	0.13	0.79
18	0.37	0
19	0.49	0
20	0.65	0
21	0.35	0
22	27.3	9.8
23	0.28	0
24	1.75	1.19
25	1.03	1.06
26	2.18	2.03
27	1.1	0.95
28	0.9	0.8
29	1.44	1.83
30	0.77	0.77
31	0.43	0
32	0.69	0.5
33	6.35	5.25
34	0.56	0.67
35	0.25	0
36	0.36	0.33
37	0.59	0
38	0.59	0
39	2.3	1.79
40	0	0.25
41	0.57	0.24
42	0.34	0.28
43	0.25	0
44	0.18	0
45	0.26	0
46	0.54	0
47	1.56	1.35
48	2.7	2.36
49	1.9	1.84
50	0	0.24
51	0	3.42
52	0	2.17
53	0	0.22
54	0.34	0
